1. In which country do you teach?,2. What is the name of the institution?,3. What kind of courses do you teach?,4. How many years of experience do you have as a teacher at an institution?,5. Is software modeling your main area of expertise?,6. Is there a course covering the fundamentals of Software Modeling in the institution where you teach?,6.1. Is there a course on advanced aspects of modeling for Software Modeling in the institution where you teach?,"7. Please mention the Software Modeling courses that you are part of as an instructor e.g. ""Software Modeling and Design, Model-Based Design of Embedded Software, etc.""",8. Which approaches are taught in courses that you are responsible for?,"9. Can you describe how you structured the course content e.g. ""BPMN and software process models, meta-modeling and EMF, model transformations and QVT-o, etc.""?",10. What modeling languages are you teaching?,11. What tools are you using in teaching?,"12. Is there any need to update the course contents to the latest trends and tools e.g. ""ModelRunner, Modelio, Eclipse Papyrus, etc.""?",12.1 What are you expected to cover in the future,"13. In your opinion, how does taking the Software Modeling course benefit the students from a Software Engineering perspective?","14. Are the tools used easy to learn and be used by the students? Explain your answer referring to specific properties, e.g. ""free tools, well-documented tools, etc."".","15. Are there any aspects of teaching Software Modeling that we did not cover in this survey? If you think we have missed anything, please let us know."
UK,"King's College London (btw, that pretty much deanonymises the survey :-))",Degree course (courses offered from universtiy),> 10,Yes,Yes,Yes,"""Introduction to Software Engineering"" (UML modelling etc), ""Model-Driven Engineering"" (development of modelling languages, transformations etc)",model-driven development;domain-specific modeling;general-purpose modeling;model-driven design;domain-specific modelling languages,"Abstraction concept;Semantics;Metamodelling;Software process models, e.g. waterfall, agile;Structure: class diagrams, state: state machines","ISE: UML; MDE: Xtext, Sirius, ETL, ...",Eclipse and EMF ecosystem,Yes,"I constantly improve the course, based on reflection on how the current year went. ",Better understanding of abstraction; different perspective on software engineering as a knowledge engineering activity; better understanding of opportunities for automation in software engineering,"No. Tool installation and configuration is one of the most challenging aspects, making it difficult for students to access the knowledge I actually want them to focus on.",
france,university of grenoble,Degree course (courses offered from universtiy),> 10,Yes,Yes,Yes,Model Driven Engineering,model-driven development;model-driven architecture;domain-specific modeling;general-purpose modeling;model-driven design,"Abstraction concept;Semantics;Metamodelling;Modelling and analysis case studies;Structure: class diagrams, state: state machines",UML,StarUML,No,,software engineering,staruml is ok,
Spain,Universidad de Malaga,Degree course (courses offered from universtiy),> 10,Yes,Yes,No,Software Modeling and Design,general-purpose modeling;model-driven design,"Abstraction concept;Semantics;Modelling and analysis case studies;Structure: class diagrams, state: state machines","UML, plus an action language to execute the models: SOIL (part of the USE environment) ","MagicDraw, Papyrus, USE",Yes,"Since this is an introductory course, most of the topics are fundamental","Makes them think of the system using a higher-level view, instead of just in terms of a herd of java classes ","In general, yes. They find textual modeling (with USE) a bit awkward at the beginning, compared to MagicDraw, but once they get used to it, they love it. They find Papyrus more difficult to use. ","I missed a question about teaching materials used (text books, exercises, MOOCs?, online-tutorials). But in general the survey is quite comprehensive and well-designed."
France,University of Rennes 1,Degree course (courses offered from universtiy),> 10,Yes,Yes,Yes,"Software Modeling, Advanced Software Engineering ",model-driven development;domain-specific modeling;model-driven design,"Abstraction concept;Semantics;Metamodelling;Modelling and analysis case studies;Design patterns, generics;Software process models, e.g. waterfall, agile;Structure: class diagrams, state: state machines","UML, SysML, Arcadia","EMF, GEMOC, Langium",No,,Give abstraction skills and automation techniques ,"Open source, free tools. ",
Italy,Sapienza - University of Rome,Degree course (courses offered from universtiy),> 10,Yes,No,Yes,Advanced Software Engineering,model-driven development;model-driven architecture;domain-specific modeling,"Abstraction concept;Metamodelling;Structure: class diagrams, state: state machines","Epsilon, EMF, UML","Eclipse, WebRatio, FeatureIDE, AGG, ",No,,"Learn abstraction concepts, frameworks, code generation",Generally well documented. Free tools or Academic Licenses are used,
Spain,University of Extremadura,Degree course (courses offered from universtiy),> 10,Yes,Yes,Yes,Design and modeling software development,model-driven development;model-driven architecture;domain-specific modeling;model-driven design,"Abstraction concept;Semantics;Metamodelling;Modelling and analysis case studies;Design patterns, generics","EMF, UML Profiles, OCL, M2T, M2M","Eclipse EMF, OCL Tools, Accelo (M2T) and ATL (M2M)",Yes,"- Eclipse EMF.Cloud could be an interesting approach in order to develop DSL with web support.
","In my opinion, they  understand the power of abstraction to model problems by means syntax (abstract and concrete syntax) and semantic. Then they understand how develop DSL and model to text transformations in order to tackle the software complexity.",Perhaps they could require additional documents such as tool documentations (for instance in OCL) or modeling examples. However. they are able to carry out the problems proposed using the current tools and documentation.,
Poland,Warsaw University of Technology,Degree course (courses offered from universtiy),> 10,Yes,Yes,Yes,"Software Modelling in UML, Model-Driven Software Development",model-driven development;model-driven architecture;domain-specific modeling;general-purpose modeling;model-driven design,"Abstraction concept;Semantics;Metamodelling;Modelling and analysis case studies;Design patterns, generics;Software process models, e.g. waterfall, agile;Structure: class diagrams, state: state machines","UML, MOF, Req. Spec. Language","Enterprise Architect, Visual Paradigm, Mola Tool, Modelio, ReDSeeDS",No,,Better understanding of visual approaches to SE. Understanding of transformations between artefacts at different disciplines of SE.,EA is lightweight and easy to use. VP has an online version.,
Spain,Universidad Autonoma de Madrid,Degree course (courses offered from universtiy),> 10,Yes,Yes,Yes,"Software Analysis and Design, Software Analysis and Design Project, Model-driven Engineering",model-driven development;domain-specific modeling;general-purpose modeling,"Metamodelling;Modelling and analysis case studies;Design patterns, generics;Structure: class diagrams, state: state machines",UML,"UMLet, Modelio, Eclipse (EMF, Acceleo, Henshin, Epsilon, ATL)",No,,They have a tool to express and reason about their designs,"In my experience, the simpler the tools, the better (e.g., for simple software modelling, something like UMLet is better than Eclipse-based tools). Collaborative tools (UMLetino) are appreciated more than stand-alone tools.",
Belgium,,Degree course (courses offered from universtiy),> 10,No,No,No,"none anymore, there was a course touching upon some aspects of modelling but it got replaced by another course... in the remaining questions I will answer from the perspective of that course","modelling source code (UML diagrams essentially, some architecture stuff too)","Structure: class diagrams, state: state machines",UML,Visual Paradigms,No,,Modelling is one of the essential skills to create better programs,"drawing UML diagrams is really not that hard, you can even do it with drawing tools like draw.io",
Canada,University of Ottawa,Degree course (courses offered from universtiy),> 10,One of my main areas,Yes,No,Introduction to Software engineering,model-driven development;general-purpose modeling,"Abstraction concept;Modelling and analysis case studies;Design patterns, generics;Software process models, e.g. waterfall, agile;Structure: class diagrams, state: state machines","UML, Umple",Umple,No,,Teaches them that systems can be built more rapidly using models (augmented by model analysis and code generation) than by coding everything,"Yes. Umple is free, well-documented with many examples, analyses models to find weaknesses, and generates systems students can then run to feel they are actually building something real, and get runtime feedback.",
